Generation,Best_Fitness,Average_Fitness,Worst_Fitness
0,33204326.875,31079964.175,28681586.875
1,33665819.125,31852055.8125,29653347.0
2,34280915.875,32589430.32625,30979906.375
3,34873335.125,33193425.255,31381378.375
4,35283490.5,33990508.14125,32468395.375
5,35720933.5,34536049.9425,32369246.25
6,36375313.125,35024859.58625,33821036.75
7,36950178.25,35451232.16375,34164586.125
8,36950178.25,35914225.68,34394773.625
9,37229581.875,36440963.49625,35248883.125
10,37486141.0,36726226.4625,35771755.75
11,37663995.0,37091891.295,36190833.125
12,37908668.125,37354918.61875,36794776.625
13,38005461.25,37524292.69625,36901525.0
14,38285986.25,37720786.38375,37064723.875
15,38285986.25,37889294.49625,37344469.5
16,38300347.625,38034295.99125,37598304.625
17,38329303.875,38125476.3375,37596870.0
18,38481883.75,38199000.1575,37479728.125
19,38524988.875,38293888.39625,38051581.5
20,38570089.625,38361694.86125,37796577.0
21,38612498.375,38435534.35125,38043159.625
22,38623656.375,38513575.48875,38133481.375
23,38662397.125,38549016.335,37928260.875
24,38709770.875,38592970.82,38265154.375
25,38730803.125,38625695.08125,38494063.375
26,38751562.625,38653428.90125,38335921.125
27,38783684.375,38687569.325,38328859.0
28,38816394.5,38725262.14125,38642332.625
29,38816394.5,38751889.04,38573340.625
30,38832322.625,38771684.955,38313046.875
31,38901874.5,38794146.64375,38694917.5
32,39112884.5,38815204.36375,38531714.5
33,39112884.5,38843381.8775,38596650.75
34,39118820.75,38900486.3525,38749319.5
35,39118820.75,38985832.2275,38673557.0
36,39166234.5,39055811.96125,38816233.25
37,39166234.5,39087581.40625,38482419.5
38,39173700.5,39107546.4375,38442518.5
39,39239820.75,39141262.95875,39069985.75
40,39239820.75,39154501.205,38479284.5
41,39308327.375,39184798.01375,38502017.625
42,39355834.5,39220919.7875,39004441.125
43,39386834.5,39274722.555,38888515.75
44,39397165.75,39319008.5075,39006740.75
45,39435634.5,39351246.88625,39242084.5
46,39460120.75,39356698.5425,38707870.75
47,39510022.0,39386020.93125,38872155.75
48,39569708.25,39424494.6025,39307034.5
49,39605103.25,39465570.2625,39235205.75
50,39671203.25,39507195.61625,39363185.75
51,39671203.25,39543293.70625,39350933.25
52,39682808.25,39584147.8975,39457801.75
53,39710103.25,39619488.045,38922608.25
54,39751803.25,39644310.63125,38913756.375
55,39797577.25,39696380.89375,39563603.25
56,39797577.25,39732745.47875,39590853.25
57,39832583.25,39768662.1675,39547778.25
58,39852375.375,39787043.95,39575803.25
59,39852375.375,39804502.885,39604551.0
60,39908335.375,39818899.45,39233920.75
61,39918735.375,39838335.63875,39706377.25
62,39918735.375,39845352.07,39207150.375
63,40004355.375,39871817.7,39512935.375
64,40037205.375,39886142.7025,39259313.375
65,40056659.375,39925887.9525,39822205.375
66,40079735.375,39952332.04125,38572861.625
67,40097610.375,40015332.5675,39351330.375
68,40115715.375,40055841.11875,39898601.625
69,40178951.375,40075070.78,39702905.375
70,40259744.75,40108118.64625,39983275.375
71,40278023.5,40122358.1875,38723405.375
72,40360542.5,40202650.1575,39725420.375
73,40397267.5,40253430.8775,39788076.25
74,40405523.5,40313001.7975,39892804.75
75,40422736.0,40361330.43125,40233925.375
76,40435453.5,40383702.87,40098754.75
77,40457051.0,40396801.41,39979567.5
78,40470338.5,40414815.87875,40306270.0
79,40486367.25,40428268.5525,40299410.375
80,40507356.25,40443322.36625,40091396.25
81,40523603.5,40459593.38125,39803661.0
82,40572493.75,40485525.61375,40282539.5
83,40572493.75,40497155.9075,40177732.5
84,40584212.5,40517102.21625,40338305.0
85,40590732.25,40537649.62625,40081241.25
86,40614760.0,40558052.69875,40427665.0
87,40652841.25,40579162.8625,40455362.75
88,40661446.0,40593365.38,40280243.5
89,40661446.0,40609062.10625,40419851.0
90,40705960.0,40622140.60625,39864686.25
91,40707550.0,40642072.96625,40270668.75
92,40880030.0,40669110.39625,40458664.0
93,40957675.0,40694352.88625,40559414.0
94,40981460.0,40722869.5725,40570310.0
95,41003080.0,40764825.40875,39972165.0
96,41046680.0,40860749.85125,40285390.625
97,41081188.5,40929968.69375,40144460.0
98,41099405.0,41004219.35375,40880030.0
99,41115205.0,41043163.49,40928260.0
100,41398688.5,41079256.71125,40839460.0
101,41398688.5,41115164.585,41020017.5
102,41441280.0,41173379.9275,40635105.0
103,41441438.5,41292731.8425,40635491.625
104,41453336.0,41387188.7125,41084157.5
105,41453336.0,41402170.25,40815188.5
106,41460230.0,41429369.4625,41303650.0
107,41492336.0,41437082.24375,41383636.0
108,41518217.25,41444580.9325,41383636.0
109,41518217.25,41454990.4075,41179109.0
110,41532289.5,41471446.6025,40899620.0
111,41548407.5,41505128.45125,41276770.0
112,41573227.0,41516202.71,41396761.0
113,41591845.0,41513920.1325,40534338.0
114,41592815.0,41537626.29,41211223.0
115,41601684.25,41547193.8825,40926315.0
116,41613445.75,41570089.5275,41275527.5
117,41615764.75,41581233.3075,41410988.25
