Generation,Best_Fitness,Average_Fitness,Worst_Fitness
0,21436542.75,19068364.28,17313957.75
1,22234319.75,19877593.71,18014791.75
2,23324700.75,20708105.765,18720676.25
3,23876600.75,21270561.065,18981411.75
4,23876600.75,22019115.21,19716841.75
5,24408688.75,22590449.295,20217410.75
6,24408688.75,23183645.7,20767227.75
7,24862022.75,23691398.975,22018217.75
8,25001978.75,24028971.42,22918618.75
9,25036571.75,24286016.31,22726079.75
10,25216508.75,24601136.74,23493890.75
11,25493203.75,24838668.12,24029470.75
12,25525583.75,25038934.61,24171540.75
13,25750991.75,25246951.16,24566783.75
14,25750991.75,25398358.93,24933228.75
15,25872176.75,25470594.44,24779227.75
16,25884993.75,25562914.41,25197453.75
17,26005533.75,25666932.36,24925592.75
18,26078593.75,25738043.58,25336948.75
19,26108493.75,25831040.62,25478343.75
20,26108493.75,25902304.46,25220193.75
21,26303378.75,25977389.31,24973173.75
22,26303378.75,26056523.3,25549473.75
23,26345838.75,26132582.0,25754133.75
24,26504388.75,26190377.38,25854143.75
25,26578393.75,26296730.26,25915028.75
26,26751783.75,26422415.64,26031033.75
27,26797648.75,26536477.29,26305364.75
28,26827648.75,26618575.79,26338551.75
29,26847868.75,26707104.81,26252883.75
30,26847868.75,26765392.79,26555648.75
31,26898648.75,26805360.47,26446198.75
32,26915113.75,26812742.56,26162808.75
33,26950769.75,26849287.7,26694568.75
34,27056979.75,26879918.895,26609818.75
35,27056979.75,26914422.65,26546373.75
36,27145133.75,26948220.92,26426568.75
37,27177508.75,27019628.01,26809193.75
38,27207103.75,27059652.15,26595593.75
39,27267503.75,27102555.755,26581333.75
40,27309768.75,27158963.97,26943008.75
41,27367028.75,27217032.98,26980296.75
42,27372028.75,27272904.53,27096123.75
43,27400208.75,27300811.86,26898743.75
44,27405208.75,27349076.36,27178748.75
45,27424208.75,27372703.38,27124433.75
46,27446018.75,27385454.45,26770368.75
47,27569358.75,27408127.66,27176450.75
48,27731608.75,27433179.98,27253358.75
49,27791774.75,27473748.27,27055578.75
50,27834984.75,27589409.39,27394868.75
51,27836178.75,27691004.47,27380508.75
52,27867053.75,27757162.715,27123898.75
53,27900494.75,27789450.925,27297458.75
54,28033321.25,27830997.06,27635143.75
55,28069196.25,27856881.295,27542653.75
56,28099262.25,27896765.07,27621583.75
57,28153916.25,27934561.515,27661293.75
58,28153916.25,28007502.935,27706341.25
59,28153916.25,28091179.43,27706022.25
60,28224672.25,28115206.92,27880272.25
61,28262262.25,28139308.005,27703186.25
62,28262262.25,28158068.06,27765342.25
63,28368222.25,28189768.065,27954014.75
64,28403486.25,28222548.205,27763086.25
65,28416227.25,28263358.685,27687112.25
66,28547711.25,28321539.79,27748416.25
67,28551649.25,28392437.705,28182916.25
68,28558427.25,28437101.45,28048481.25
69,28582061.25,28511406.71,28270472.25
70,28582061.25,28527702.125,28048311.25
71,28582061.25,28550240.49,28334288.75
72,28603937.25,28556652.815,28414739.75
73,28689661.25,28565777.49,28210663.25
74,28716777.25,28576656.55,27916937.25
75,28746107.25,28614493.085,28330839.75
76,28766267.25,28662339.595,28203877.25
77,28779547.25,28711875.86,28218437.25
78,28779547.25,28729051.21,28414704.25
79,28783397.25,28753398.83,28593657.25
80,28799707.25,28762972.155,28642109.75
81,28803557.25,28773852.235,28607517.25
82,28915332.25,28768308.675,28273927.25
83,28930182.25,28786384.69,28381707.25
84,28930182.25,28796835.615,28286657.25
85,28930182.25,28819707.31,28380547.25
86,28935997.25,28863748.105,28595468.25
87,28938603.25,28908396.22,28667634.75
88,28939407.25,28919004.24,28534542.25
89,28965192.25,28913613.47,28487732.25
90,28971007.25,28929980.88,28787497.25
91,28974417.25,28935776.535,28659432.25
92,28983817.25,28939905.36,28505203.25
93,28983817.25,28950520.51,28621729.75
94,29039967.25,28958609.055,28398247.25
95,29039967.25,28978476.97,28732849.75
96,29044532.25,28990765.36,28376239.75
97,29044532.25,29012564.455,28535417.25
98,29045132.25,29028839.615,28685552.25
99,29047132.25,29033356.295,28777329.75
100,29047132.25,29026611.415,28440009.75
101,29047732.25,29028209.965,28468457.25
102,29047732.25,29040198.07,28916507.25
103,29048920.25,29035323.015,28523734.75
104,29087595.25,29036164.895,28377184.75
105,29087595.25,29040302.19,28762657.25
106,29112570.25,29048261.15,28800820.25
107,29112570.25,29055740.44,28833720.25
108,29113098.25,29071503.29,28868907.25
109,29114823.25,29086121.06,28852257.75
110,29114823.25,29098225.935,28797050.25
111,29114823.25,29098171.28,28642730.25
112,29115351.25,29102397.56,28929750.25
113,29129088.25,29105178.91,28573730.25
114,29172551.25,29106210.1,28958095.25
115,29240795.25,29117304.63,28787531.25
116,29241323.25,29120963.715,28598301.25
117,29286851.25,29152278.185,28802871.25
118,29286851.25,29186538.865,28970951.25
119,29305826.25,29223035.21,28970171.25
120,29305826.25,29256552.995,29071863.75
121,29321288.25,29276619.585,28829603.75
122,29321288.25,29292181.4,28651483.25
123,29321552.25,29297644.935,28995026.25
124,29339513.25,29295185.59,28739923.25
125,29340913.25,29314314.23,29057238.25
126,29340913.25,29310393.05,29026168.25
127,29340913.25,29323877.06,29108852.25
128,29340913.25,29327968.29,29048613.25
129,29341453.25,29332421.06,29058673.25
130,29344713.25,29328436.36,28731420.75
131,29372637.25,29328623.295,28962183.25
132,29372913.25,29331409.745,28809638.75
133,29376437.25,29339266.68,29073163.25
134,29376713.25,29343437.295,29112013.25
135,29379343.25,29359755.525,29251439.75
136,29379343.25,29361858.42,28862858.25
137,29517452.25,29360587.03,28650213.25
138,29524452.25,29360864.44,28843259.75
139,29524452.25,29380644.415,28942543.25
140,29532852.25,29414031.38,28833060.75
141,29539852.25,29461447.96,28988557.25
142,29539852.25,29503971.075,29298637.25
143,29539852.25,29516458.395,29238152.25
144,29546107.25,29526538.95,29342572.25
145,29546107.25,29529322.785,29292052.25
146,29546647.25,29531188.41,29368182.25
147,29546647.25,29528743.4,28940157.25
148,29563282.25,29529689.11,29218002.25
149,29563282.25,29532289.985,29261747.25
150,29570077.25,29541645.26,29243382.25
151,29570077.25,29548516.54,29401647.25
152,29572417.25,29545249.4,29230002.25
153,29572681.25,29557355.025,29350402.25
154,29572681.25,29559046.045,29078037.25
155,29572681.25,29559532.24,29023637.25
156,29572681.25,29562208.99,29044791.25
157,29626431.25,29564421.485,29378737.25
158,29626431.25,29566373.135,29381786.25
159,29626431.25,29567269.745,29317328.75
160,29635875.25,29571367.15,29008127.25
161,29635875.25,29586827.615,29229417.25
162,29641587.25,29604489.795,28984755.25
163,29641587.25,29614182.225,29201081.25
164,29641851.25,29630530.23,29415715.25
165,29713126.25,29622968.595,29152272.75
166,29713126.25,29632196.185,29397615.25
167,29714407.25,29643148.69,29306321.25
168,29715595.25,29652643.825,29246488.75
169,29715595.25,29674509.39,29048455.25
170,29719857.25,29703617.225,29526140.25
171,29719857.25,29706610.85,29232057.25
172,29721595.25,29701342.21,29304815.25
173,29721595.25,29701473.34,29297295.25
174,29722685.25,29700474.02,29447497.25
175,29743995.25,29709842.545,29296245.25
176,29743995.25,29718421.26,29519870.25
177,29745085.25,29709302.49,29142845.25
178,29745085.25,29722474.96,29525435.25
179,29745401.25,29727615.09,29259395.25
180,29749780.25,29735215.975,29481535.25
181,29768840.25,29727066.01,29341610.25
182,29768840.25,29721040.875,29383025.25
183,29769156.25,29722638.4,29175201.25
184,29773535.25,29743411.25,29459196.25
185,29773851.25,29747536.63,29145051.25
186,29779281.25,29757939.555,29460356.25
187,29821806.25,29749966.15,29397851.25
188,29821806.25,29749494.37,29026741.25
189,29831931.25,29772034.94,29609451.25
190,29831931.25,29780565.935,29524526.25
191,29856326.25,29796139.21,29594606.25
192,29856326.25,29803296.725,29173331.25
193,29866451.25,29828237.565,29571681.25
194,29866451.25,29823841.705,28998251.25
195,29866451.25,29840554.37,29535191.25
196,29876451.25,29846862.28,29268441.25
197,29876451.25,29851656.66,29530326.25
198,29876451.25,29850598.6,29362351.25
199,29876451.25,29854910.385,29292701.25
