Generation,Best_Fitness
0,3167654.284668739
1,3268103.512804342
2,3312553.7703662096
3,3377609.867040453
4,3399118.250297195
5,3473675.0106310644
6,3522018.9583050646
7,3523754.360239832
8,3576462.298855018
9,3606873.3074180703
10,3606873.3074180703
11,3631436.264741967
12,3643973.9880333934
13,3658702.0956709734
14,3661390.922130946
15,3664527.518309037
16,3664782.801098208
17,3674299.92830793
18,3682002.575105785
19,3692439.9779382516
20,3699698.2726691137
21,3701505.2028040364
22,3701932.612258411
23,3711972.357661621
24,3712193.386654698
25,3716857.4279401307
26,3721162.0102399653
27,3728675.4398806947
28,3752776.707463185
29,3757544.5454327646
30,3767996.950973128
31,3783150.157778654
32,3799554.938845556
33,3799554.938845556
34,3806614.5090603894
35,3817962.8633262557
36,3819508.7082994347
37,3823685.677594011
38,3839309.3175843037
39,3839309.3175843037
40,3843572.0621771626
41,3849189.794678145
42,3859344.6148823504
43,3861993.940402706
44,3867262.9313535206
45,3896867.3169901506
46,3900265.2312176046
47,3920701.422560348
48,3925033.233155267
49,3951171.262053621
50,3952454.278657008
51,3955607.3494861485
52,3955805.6438727444
53,3962250.58086853
54,3981558.730421517
55,3991877.284277129
56,3996860.241127544
57,4016495.646173094
58,4024541.4295610343
59,4027051.7607683497
60,4031664.036712741
61,4031861.4052813128
62,4035770.4114861228
63,4036609.106227859
64,4036609.106227859
65,4043962.7631610003
66,4044183.0942623895
67,4048064.565227381
68,4052460.6850569956
69,4052460.6850569956
70,4053834.2187012965
71,4057749.038531238
72,4060404.410443678
73,4060404.410443678
74,4062028.9994377517
75,4062028.9994377517
76,4077522.672507556
77,4080061.259480641
78,4083125.7838324844
79,4089197.159880407
80,4130948.275534247
81,4130948.275534247
82,4134800.750727753
83,4139470.3773606564
84,4146876.800460074
85,4147470.4128780058
86,4153827.268605176
87,4158139.008160415
88,4166694.6515942835
89,4166694.6515942835
90,4166846.8593577314
91,4172638.7711407994
92,4172638.7711407994
93,4176182.8013541508
94,4176525.2044508723
95,4178733.106712309
96,4180520.094906564
97,4183384.3604476983
98,4183748.317830553
99,4183900.406951921
100,4185896.3370448644
101,4187843.926868828
102,4220316.854184341
103,4252841.274242395
104,4252841.274242395
105,4265438.529183682
106,4265438.529183682
107,4265438.529183682
108,4265438.529183682
109,4269673.62777874
110,4273414.309361703
111,4274387.58073645
112,4277835.626245597
113,4278002.276140903
114,4280665.98493322
115,4287164.461909237
116,4288072.906480649
117,4290327.642393121
118,4293582.995265561
119,4293582.995265561
120,4294623.269826256
121,4295236.081071963
122,4295236.081071963
123,4299419.767872762
124,4300154.134417594
125,4300274.246484799
126,4308786.285829431
127,4309918.979089306
128,4309993.604264953
129,4319510.252896528
130,4321059.971075569
131,4321059.971075569
132,4338729.652739666
133,4343630.826635769
134,4354159.049349981
135,4358115.381047855
136,4358864.421022379
137,4359988.865234296
138,4361495.573768137
139,4361954.842724696
140,4361954.842724696
141,4363491.444705645
142,4366459.764139607
143,4366459.764139607
144,4368723.0744008515
145,4368723.0744008515
146,4372038.8711665785
147,4373505.428484283
148,4373505.428484283
149,4375359.926548076
150,4375993.562219284
151,4375993.562219284
152,4393045.250504893
153,4393045.250504893
154,4402187.176310087
155,4411842.105393147
156,4411842.105393147
157,4412369.319911068
158,4415634.525305137
159,4416911.868967905
160,4418046.4360823855
161,4422395.800562743
162,4423050.848843447
163,4424065.82514837
164,4424065.82514837
165,4426349.71884844
166,4426349.71884844
167,4433071.600464559
168,4434501.30905065
169,4435567.490645536
170,4435567.490645536
171,4438097.790733442
172,4440449.036155962
173,4442556.041180186
174,4443920.30532711
175,4444937.762735898
176,4446464.452646833
177,4447886.154066437
178,4447886.154066437
179,4452395.186784815
180,4452395.186784815
181,4452395.186784815
182,4452395.186784815
183,4453448.005586641
184,4453766.370114521
185,4455176.758368635
186,4455176.758368635
187,4455298.197237233
188,4455311.62889278
189,4455869.764191529
190,4465709.913387822
191,4466266.200056272
192,4466681.22065316
193,4466703.572503739
194,4467231.504096283
195,4467940.172997392
196,4469089.920350513
197,4469114.944295031
198,4469949.850666852
199,4469949.850666852
