Generation,Best_Fitness
0,161.09756795669938
1,161.70977075843462
2,181.0573173920633
3,181.0573173920633
4,181.0573173920633
5,183.3818432385549
6,188.8011423387665
7,188.8011423387665
8,193.6111538254263
9,195.07921194020156
10,197.5493151493785
11,198.15488314790292
12,198.958422557107
13,201.98980840015383
14,205.85875038108685
15,211.6650019602449
16,220.33575590114808
17,220.33575590114808
18,229.3276739985521
19,231.48698702899827
20,231.48698702899827
21,235.96032778547064
22,235.96032778547064
23,236.6125070346456
24,237.1352466363263
25,237.1753884190672
26,237.28819593778996
27,240.8281775917051
28,241.2930680228154
29,246.56912773928647
30,248.2704504940352
31,248.70316367526993
32,254.74986068078798
33,254.74986068078798
34,254.74986068078798
35,254.74986068078798
36,257.9750764241193
37,261.33025548116547
38,263.332904024834
39,263.50416024110547
40,267.90659345194774
41,267.9213291290454
42,268.85235135583696
43,269.1041861702063
44,269.1041861702063
45,269.21752587214496
46,269.8101687693479
47,270.8222851213529
48,270.8222851213529
49,272.0283327485792
50,272.0283327485792
51,273.19133886134523
52,275.7066050936039
53,275.7066050936039
54,279.4911906393067
55,279.651828979174
56,281.5460282431592
57,282.44993407649923
58,283.0704438469516
59,284.4190482657504
60,284.88045426987367
61,285.5968926914278
62,290.01874677368784
63,290.01874677368784
64,292.20622550060756
65,293.65982825970144
66,294.6139419442274
67,295.33895996440293
68,299.4211246992351
69,299.4211246992351
70,300.25453579492563
71,300.6160164041851
72,300.69751164015275
73,301.37897877902213
74,302.5918519700534
75,303.47341659993106
76,304.47048488707594
77,306.08390429347344
78,309.71697423885456
79,311.9300224337242
80,313.46909624590035
81,315.48101553581904
82,318.659973163294
83,319.2757966377907
84,323.8286508861217
85,324.0664007741277
86,324.83149906605934
87,327.2370768763778
88,329.2190199839101
89,329.44659878274496
90,332.72248556815947
91,333.6668969530517
92,333.6668969530517
93,335.9971258301201
94,336.04219731654047
95,336.5941223985491
96,338.915271387137
97,340.58331345197763
98,343.24759368105174
99,344.81146268876034
100,346.37305854076624
101,348.07605495606754
102,349.06131762981613
103,350.6979813686205
104,351.91956786840996
105,354.8251189609549
106,355.6368968076126
107,357.6139556233787
108,358.23590522263544
109,359.59657255856536
110,362.3284896466332
111,363.42226453389674
112,365.22214168339457
113,366.64566229141576
114,368.3393302238316
115,370.62244359897716
116,370.62244359897716
117,373.0136668565517
118,374.9082084168137
119,374.9087374261363
120,376.1120654055569
121,377.6255821447359
122,378.16093503498524
123,378.16093503498524
124,380.5781884698102
125,381.38126840262817
126,383.57830875494
127,386.1722900564862
128,391.70024959129603
129,391.70024959129603
130,396.4009492432022
131,398.236658773481
132,400.7026504499331
133,400.7026504499331
134,403.0107130231751
135,404.3318105723597
136,405.62007882026825
137,407.1384791001224
138,411.3545506103627
139,414.62025660570754
140,414.77088638552516
141,418.48051098170293
142,418.701666534767
143,420.5270244203034
144,420.5270244203034
145,420.5270244203034
146,420.5270244203034
147,420.5270244203034
148,420.5270244203034
149,420.56757134390995
150,424.7867238806747
151,424.7867238806747
152,426.2401112041454
153,426.2401112041454
154,426.2401112041454
155,429.81633462130543
156,430.460393277437
157,430.9723786642674
158,431.03514831791716
159,431.83838468222933
160,433.18090117488526
161,433.4474661686735
162,434.59689785267625
163,435.4844874523881
164,436.21883498982123
165,437.31587626526067
166,437.96433211985004
167,439.3520046402193
168,440.5123876525258
169,441.9153153246247
170,444.23330974730476
171,444.639517553376
172,444.639517553376
173,447.18365961603735
174,448.734874195933
175,448.734874195933
176,449.46744410062786
177,450.6648148121405
178,450.81059700176974
179,452.24449657432103
180,453.2264470567203
181,456.1502715748366
182,456.1502715748366
183,457.20022974379054
184,457.20022974379054
185,458.51255099410093
186,458.815780468704
187,458.8423031977419
188,459.5148652244808
189,462.2585434075744
190,462.2585434075744
191,462.2585434075744
192,462.2585434075744
193,464.19712524748405
194,467.54229523645904
195,467.54229523645904
196,468.2323718190011
197,469.286408037614
198,470.88773683540546
199,473.13722627936056
